customer_id,total_spend,avg_order_value,total_orders,promo_ratio,avg_review_rating,previous_purchases,subscription_status,shipping_type,season,customer_segment,loyalty_score,satisfaction_flag
1,53,53.0,1,1.0,3.1,14,1,Express,Winter,Discount Driven,6.620000000000001,Unsatisfied
2,64,64.0,1,1.0,3.1,2,1,Express,Winter,Discount Driven,1.8200000000000003,Unsatisfied
3,73,73.0,1,1.0,3.1,23,1,Free Shipping,Spring,Discount Driven,10.220000000000002,Unsatisfied
4,90,90.0,1,1.0,3.5,49,1,Next Day Air,Spring,Discount Driven,20.7,Satisfied
5,49,49.0,1,1.0,2.7,31,1,Free Shipping,Spring,Discount Driven,13.34,Unsatisfied
6,20,20.0,1,1.0,2.9,14,1,Standard,Summer,Discount Driven,6.580000000000001,Unsatisfied
7,85,85.0,1,1.0,3.2,49,1,Free Shipping,Fall,Discount Driven,20.64,Unsatisfied
8,34,34.0,1,1.0,3.2,19,1,Free Shipping,Winter,Discount Driven,8.64,Unsatisfied
9,97,97.0,1,1.0,2.6,8,1,Express,Summer,Discount Driven,4.12,Unsatisfied
10,31,31.0,1,1.0,4.8,4,1,2-Day Shipping,Spring,Discount Driven,2.96,Satisfied
11,34,34.0,1,1.0,4.1,26,1,Store Pickup,Fall,Discount Driven,11.620000000000001,Satisfied
12,68,68.0,1,1.0,4.9,10,1,Store Pickup,Winter,Discount Driven,5.380000000000001,Satisfied
13,72,72.0,1,1.0,4.5,37,1,Express,Winter,Discount Driven,16.1,Satisfied
14,51,51.0,1,1.0,4.7,31,1,Express,Spring,Discount Driven,13.74,Satisfied
15,53,53.0,1,1.0,4.7,34,1,Free Shipping,Winter,Discount Driven,14.940000000000001,Satisfied
16,81,81.0,1,1.0,2.8,8,1,Store Pickup,Winter,Discount Driven,4.16,Unsatisfied
17,36,36.0,1,1.0,4.1,44,1,Next Day Air,Spring,Discount Driven,18.82,Satisfied
18,38,38.0,1,1.0,4.7,36,1,2-Day Shipping,Winter,Discount Driven,15.74,Satisfied
19,48,48.0,1,1.0,4.6,17,1,Free Shipping,Summer,Discount Driven,8.120000000000001,Satisfied
20,90,90.0,1,1.0,3.3,46,1,Standard,Summer,Discount Driven,19.46,Unsatisfied
21,51,51.0,1,1.0,2.8,50,1,Express,Winter,Discount Driven,20.959999999999997,Unsatisfied
22,62,62.0,1,1.0,4.1,22,1,Store Pickup,Winter,Discount Driven,10.020000000000001,Satisfied
23,37,37.0,1,1.0,3.2,32,1,Store Pickup,Summer,Discount Driven,13.840000000000002,Unsatisfied
24,88,88.0,1,1.0,4.4,40,1,Express,Winter,Discount Driven,17.279999999999998,Satisfied
25,22,22.0,1,1.0,2.9,16,1,Store Pickup,Fall,Discount Driven,7.380000000000001,Unsatisfied
26,25,25.0,1,1.0,3.6,14,1,Express,Summer,Discount Driven,6.720000000000001,Satisfied
27,20,20.0,1,1.0,3.6,13,1,Next Day Air,Spring,Discount Driven,6.32,Satisfied
28,56,56.0,1,1.0,5.0,7,1,Next Day Air,Summer,Discount Driven,4.2,Satisfied
29,94,94.0,1,1.0,4.4,41,1,Free Shipping,Fall,Discount Driven,17.68,Satisfied
30,48,48.0,1,1.0,4.1,14,1,Store Pickup,Fall,Discount Driven,6.820000000000001,Satisfied
31,31,31.0,1,1.0,4.7,16,1,Standard,Winter,Discount Driven,7.740000000000001,Satisfied
32,79,79.0,1,1.0,4.7,45,1,Store Pickup,Winter,Discount Driven,19.34,Satisfied
33,67,67.0,1,1.0,4.9,37,1,Free Shipping,Summer,Discount Driven,16.18,Satisfied
34,38,38.0,1,1.0,3.3,45,1,Store Pickup,Summer,Discount Driven,19.06,Unsatisfied
35,91,91.0,1,1.0,4.6,38,1,2-Day Shipping,Spring,Discount Driven,16.520000000000003,Satisfied
36,33,33.0,1,1.0,4.0,48,1,2-Day Shipping,Summer,Discount Driven,20.400000000000002,Satisfied
37,69,69.0,1,1.0,4.6,44,1,Free Shipping,Winter,Discount Driven,18.92,Satisfied
38,45,45.0,1,1.0,2.8,10,1,Store Pickup,Summer,Discount Driven,4.96,Unsatisfied
39,37,37.0,1,1.0,,44,1,2-Day Shipping,Winter,Discount Driven,,Unsatisfied
40,60,60.0,1,1.0,4.2,18,1,Express,Summer,Discount Driven,8.440000000000001,Satisfied
41,76,76.0,1,1.0,4.6,31,1,Next Day Air,Winter,Discount Driven,13.72,Satisfied
42,39,39.0,1,1.0,4.5,40,1,Standard,Spring,Discount Driven,17.299999999999997,Satisfied
43,100,100.0,1,1.0,4.1,15,1,Free Shipping,Spring,Discount Driven,7.220000000000001,Satisfied
44,69,69.0,1,1.0,3.7,19,1,Store Pickup,Fall,Discount Driven,8.74,Satisfied
45,53,53.0,1,1.0,4.6,45,1,Free Shipping,Summer,Discount Driven,19.32,Satisfied
46,21,21.0,1,1.0,2.9,25,1,2-Day Shipping,Fall,Discount Driven,10.98,Unsatisfied
47,43,43.0,1,1.0,2.9,45,1,Store Pickup,Summer,Discount Driven,18.979999999999997,Unsatisfied
48,54,54.0,1,1.0,4.5,36,1,Free Shipping,Winter,Discount Driven,15.700000000000001,Satisfied
49,55,55.0,1,1.0,2.7,38,1,Store Pickup,Summer,Discount Driven,16.14,Unsatisfied
50,30,30.0,1,1.0,4.6,34,1,Next Day Air,Spring,Discount Driven,14.920000000000002,Satisfied
51,28,28.0,1,1.0,,39,1,Store Pickup,Spring,Discount Driven,,Unsatisfied
52,59,59.0,1,1.0,4.7,7,1,2-Day Shipping,Winter,Discount Driven,4.140000000000001,Satisfied
53,20,20.0,1,1.0,2.6,26,1,Free Shipping,Summer,Discount Driven,11.32,Unsatisfied
54,24,24.0,1,1.0,3.9,35,1,Next Day Air,Winter,Discount Driven,15.18,Satisfied
55,94,94.0,1,1.0,4.2,35,1,Next Day Air,Summer,Discount Driven,15.24,Satisfied
56,28,28.0,1,1.0,3.0,49,1,2-Day Shipping,Winter,Discount Driven,20.6,Unsatisfied
57,73,73.0,1,1.0,4.7,46,1,Store Pickup,Summer,Discount Driven,19.740000000000002,Satisfied
58,64,64.0,1,1.0,4.4,17,1,Store Pickup,Summer,Discount Driven,8.080000000000002,Satisfied
59,54,54.0,1,1.0,4.2,29,1,Free Shipping,Summer,Discount Driven,12.840000000000002,Satisfied
60,79,79.0,1,1.0,4.6,4,1,Standard,Spring,Discount Driven,2.92,Satisfied
61,37,37.0,1,1.0,4.0,17,1,Express,Summer,Discount Driven,8.000000000000002,Satisfied
62,68,68.0,1,1.0,4.7,21,1,Store Pickup,Winter,Discount Driven,9.74,Satisfied
63,21,21.0,1,1.0,3.8,31,1,Free Shipping,Spring,Discount Driven,13.56,Satisfied
64,79,79.0,1,1.0,2.7,43,1,2-Day Shipping,Winter,Discount Driven,18.139999999999997,Unsatisfied
65,83,83.0,1,1.0,4.8,18,1,Standard,Fall,Discount Driven,8.56,Satisfied
66,36,36.0,1,1.0,4.8,44,1,2-Day Shipping,Spring,Discount Driven,18.96,Satisfied
67,94,94.0,1,1.0,4.7,3,1,2-Day Shipping,Winter,Discount Driven,2.54,Satisfied
68,33,33.0,1,1.0,4.4,49,1,Store Pickup,Winter,Discount Driven,20.88,Satisfied
69,46,46.0,1,1.0,3.9,21,1,Next Day Air,Summer,Discount Driven,9.58,Satisfied
70,70,70.0,1,1.0,4.4,5,1,Express,Summer,Discount Driven,3.2800000000000002,Satisfied
71,29,29.0,1,1.0,4.2,32,1,Express,Fall,Discount Driven,14.040000000000001,Satisfied
72,48,48.0,1,1.0,2.9,34,1,Express,Summer,Discount Driven,14.580000000000002,Unsatisfied
73,26,26.0,1,1.0,2.9,21,1,Store Pickup,Winter,Discount Driven,9.38,Unsatisfied
74,85,85.0,1,1.0,2.7,43,1,Free Shipping,Spring,Discount Driven,18.139999999999997,Unsatisfied
75,58,58.0,1,1.0,4.5,3,1,Express,Spring,Discount Driven,2.5,Satisfied
76,85,85.0,1,1.0,2.7,21,1,Free Shipping,Summer,Discount Driven,9.34,Unsatisfied
77,43,43.0,1,1.0,4.2,32,1,Free Shipping,Summer,Discount Driven,14.040000000000001,Satisfied
78,53,53.0,1,1.0,3.3,36,1,Next Day Air,Summer,Discount Driven,15.46,Unsatisfied
79,91,91.0,1,1.0,4.7,50,1,Free Shipping,Spring,Discount Driven,21.34,Satisfied
80,96,96.0,1,1.0,2.6,43,1,2-Day Shipping,Winter,Discount Driven,18.119999999999997,Unsatisfied
81,72,72.0,1,1.0,,24,1,Store Pickup,Summer,Discount Driven,,Unsatisfied
82,96,96.0,1,1.0,2.6,36,1,Express,Summer,Discount Driven,15.32,Unsatisfied
83,28,28.0,1,1.0,4.0,21,1,2-Day Shipping,Spring,Discount Driven,9.600000000000001,Satisfied
84,40,40.0,1,1.0,4.1,34,1,Standard,Summer,Discount Driven,14.820000000000002,Satisfied
85,32,32.0,1,1.0,4.4,42,1,Standard,Spring,Discount Driven,18.08,Satisfied
86,95,95.0,1,1.0,4.5,2,1,Next Day Air,Winter,Discount Driven,2.1,Satisfied
87,41,41.0,1,1.0,3.7,47,1,2-Day Shipping,Spring,Discount Driven,19.939999999999998,Satisfied
88,53,53.0,1,1.0,3.7,44,1,2-Day Shipping,Fall,Discount Driven,18.74,Satisfied
89,47,47.0,1,1.0,3.5,35,1,Free Shipping,Fall,Discount Driven,15.1,Satisfied
90,83,83.0,1,1.0,3.6,15,1,Next Day Air,Fall,Discount Driven,7.12,Satisfied
91,48,48.0,1,1.0,2.9,29,1,Express,Summer,Discount Driven,12.580000000000002,Unsatisfied
92,99,99.0,1,1.0,4.6,18,1,Standard,Winter,Discount Driven,8.52,Satisfied
93,87,87.0,1,1.0,4.4,13,1,2-Day Shipping,Winter,Discount Driven,6.48,Satisfied
94,62,62.0,1,1.0,4.5,46,1,Standard,Fall,Discount Driven,19.7,Satisfied
95,76,76.0,1,1.0,4.6,28,1,Free Shipping,Spring,Discount Driven,12.520000000000001,Satisfied
96,100,100.0,1,1.0,3.8,48,1,Free Shipping,Fall,Discount Driven,20.360000000000003,Satisfied
97,73,73.0,1,1.0,,43,1,Express,Spring,Discount Driven,,Unsatisfied
98,92,92.0,1,1.0,4.8,37,1,Store Pickup,Winter,Discount Driven,16.16,Satisfied
99,67,67.0,1,1.0,2.6,20,1,Next Day Air,Spring,Discount Driven,8.92,Unsatisfied
100,40,40.0,1,1.0,3.7,33,1,Express,Summer,Discount Driven,14.340000000000002,Satisfied
101,98,98.0,1,1.0,2.7,31,1,Express,Fall,Discount Driven,13.34,Unsatisfied
102,85,85.0,1,1.0,4.6,50,1,Express,Spring,Discount Driven,21.32,Satisfied
103,67,67.0,1,1.0,4.8,35,1,Next Day Air,Winter,Discount Driven,15.36,Satisfied
104,89,89.0,1,1.0,4.0,22,1,Next Day Air,Winter,Discount Driven,10.000000000000002,Satisfied
105,24,24.0,1,1.0,4.4,1,1,2-Day Shipping,Spring,Discount Driven,1.6800000000000002,Satisfied
106,96,96.0,1,1.0,3.6,4,1,Next Day Air,Fall,Discount Driven,2.72,Satisfied
107,35,35.0,1,1.0,3.7,31,1,Standard,Summer,Discount Driven,13.540000000000001,Satisfied
108,67,67.0,1,1.0,3.1,46,1,Next Day Air,Winter,Discount Driven,19.42,Unsatisfied
109,79,79.0,1,1.0,3.4,32,1,Next Day Air,Spring,Discount Driven,13.88,Unsatisfied
